"Layer #1"
"{0, O, (0.000000, 0.000000, 0.000000)};
{0, H, (0.277400, 0.892900, 0.254400)};
{0, H, (0.606800, -0.238300, -0.716900)};
", "{0, O, (0.000000, 0.000000, 0.000000)};
{0, H, (0.277400, 0.892900, 0.254400)};
{0, H, (0.606800, -0.238300, -0.716900)};
{25, O, (3.376800, 0.000000, 0.000000)};
{25, H, (3.654200, 0.892900, 0.254400)};
{25, H, (3.983600, -0.238300, -0.716900)};
", "{25, O, (3.226800, 0.000000, 0.000000)};
{25, H, (3.504200, 0.892900, 0.254400)};
{25, H, (3.833600, -0.238300, -0.716900)};
{50, O, (6.603600, 0.000000, 0.000000)};
{50, H, (6.881000, 0.892900, 0.254400)};
{50, H, (7.210400, -0.238300, -0.716900)};
", "{75, O, (9.830400, 0.000000, 0.000000)};
{75, H, (10.107800, 0.892900, 0.254400)};
{75, H, (10.437200, -0.238300, -0.716900)};
", "EMPTY", "{100, O, (12.907200, 0.000000, 0.150000)};
{100, H, (13.184600, 0.892900, 0.404400)};
{100, H, (13.514000, -0.238300, -0.566900)};
", 
"{5, O, (0.431728, 3.690936, 0.000000)};
{5, H, (-0.362609, 4.184140, 0.254400)};
{5, H, (0.815082, 4.218224, -0.716900)};
", "{5, O, (0.000000, 3.512900, 0.000000)};
{5, H, (0.277400, 4.405800, 0.254400)};
{5, H, (0.606800, 3.274600, -0.716900)};
{30, O, (3.376800, 3.512900, 0.000000)};
{30, H, (3.654200, 4.405800, 0.254400)};
{30, H, (3.983600, 3.274600, -0.716900)};
", "{30, O, (3.226800, 3.512900, 0.000000)};
{30, H, (3.504200, 4.405800, 0.254400)};
{30, H, (3.833600, 3.274600, -0.716900)};
{55, O, (6.453600, 3.512900, 0.000000)};
{55, H, (6.731000, 4.405800, 0.254400)};
{55, H, (7.060400, 3.274600, -0.716900)};
", "{80, O, (9.680400, 3.512900, 0.000000)};
{80, H, (9.957800, 4.405800, 0.254400)};
{80, H, (10.287200, 3.274600, -0.716900)};
", "EMPTY", "{105, O, (12.907200, 3.512900, 0.000000)};
{105, H, (13.184600, 4.405800, 0.254400)};
{105, H, (13.514000, 3.274600, -0.716900)};
", 
"{10, O, (0.030009, 7.624561, -0.288120)};
{10, H, (-0.416128, 6.850514, 0.087053)};
{10, H, (0.820317, 7.256922, -0.711434)};
", "{10, O, (0.000000, 7.025800, 0.000000)};
{10, H, (0.277400, 7.918700, 0.254400)};
{10, H, (0.606800, 6.787499, -0.716900)};
", "{60, O, (7.053600, 6.725800, 0.000000)};
{60, H, (7.331000, 7.618700, 0.254400)};
{60, H, (7.660400, 6.487499, -0.716900)};
", "{85, O, (9.980399, 6.875800, 0.000000)};
{85, H, (10.257799, 7.768700, 0.254400)};
{85, H, (10.587199, 6.637499, -0.716900)};
", "EMPTY", "{110, O, (12.907200, 7.025800, 0.000000)};
{110, H, (13.184600, 7.918700, 0.254400)};
{110, H, (13.514000, 6.787499, -0.716900)};
", 
"EMPTY", "{15, O, (0.000000, 10.538700, 0.000000)};
{15, H, (0.277400, 11.431601, 0.254400)};
{15, H, (0.606800, 10.300400, -0.716900)};
{35, O, (4.196557, 6.725465, -0.283783)};
{35, H, (4.512586, 7.148058, 0.528918)};
{35, H, (3.655460, 7.408476, -0.707635)};
{40, O, (3.376800, 10.238701, 0.000000)};
{40, H, (3.654200, 11.131601, 0.254400)};
{40, H, (3.983600, 10.000401, -0.716900)};
", "{40, O, (3.226800, 10.538700, 0.000000)};
{40, H, (3.504200, 11.431601, 0.254400)};
{40, H, (3.833600, 10.300400, -0.716900)};
{65, O, (6.603600, 10.238701, 0.000000)};
{65, H, (6.881000, 11.131601, 0.254400)};
{65, H, (7.210400, 10.000401, -0.716900)};
", "{65, O, (6.453600, 10.538700, 0.000000)};
{65, H, (6.731000, 11.431601, 0.254400)};
{65, H, (7.060400, 10.300400, -0.716900)};
{90, O, (9.830400, 10.388700, 0.000000)};
{90, H, (10.107800, 11.281601, 0.254400)};
{90, H, (10.437200, 10.150400, -0.716900)};
", "{90, O, (9.830400, 10.388700, 0.000000)};
{90, H, (10.107800, 11.281601, 0.254400)};
{90, H, (10.437200, 10.150400, -0.716900)};
", "{110, O, (12.907200, 7.025800, 0.000000)};
{110, H, (13.184600, 7.918700, 0.254400)};
{110, H, (13.514000, 6.787499, -0.716900)};
{115, O, (12.907200, 10.538700, 0.000000)};
{115, H, (13.184600, 11.431601, 0.254400)};
{115, H, (13.514000, 10.300400, -0.716900)};
", 
"{20, O, (0.000000, 14.051600, 0.000000)};
{20, H, (0.277400, 14.944500, 0.254400)};
{20, H, (0.606800, 13.813299, -0.716900)};
{15, O, (0.030009, 10.566735, 0.017219)};
{15, H, (-0.416128, 11.059939, -0.687517)};
{15, H, (0.820317, 11.094024, 0.207796)};
", "{45, O, (3.226800, 14.051600, 0.000000)};
{45, H, (3.504200, 14.944500, 0.254400)};
{45, H, (3.833600, 13.813299, -0.716900)};
", "{70, O, (6.453600, 14.051600, 0.000000)};
{70, H, (6.731000, 14.944500, 0.254400)};
{70, H, (7.060400, 13.813299, -0.716900)};
", "{95, O, (9.680400, 14.051600, 0.000000)};
{95, H, (9.957800, 14.944500, 0.254400)};
{95, H, (10.287200, 13.813299, -0.716900)};
", "EMPTY", "{115, O, (12.907200, 10.538700, 0.000000)};
{115, H, (13.184600, 11.431601, 0.254400)};
{115, H, (13.514000, 10.300400, -0.716900)};
{120, O, (12.907200, 14.051600, 0.000000)};
{120, H, (13.184600, 14.944500, 0.254400)};
{120, H, (13.514000, 13.813299, -0.716900)};
", 
"{20, O, (0.000000, 14.051600, 0.000000)};
{20, H, (0.277400, 14.944500, 0.254400)};
{20, H, (0.606800, 13.813299, -0.716900)};
", "{20, O, (0.000000, 14.051600, 0.000000)};
{20, H, (0.277400, 14.944500, 0.254400)};
{20, H, (0.606800, 13.813299, -0.716900)};
{45, O, (3.226800, 14.051600, 0.000000)};
{45, H, (3.504200, 14.944500, 0.254400)};
{45, H, (3.833600, 13.813299, -0.716900)};
", "{45, O, (3.226800, 14.051600, 0.000000)};
{45, H, (3.504200, 14.944500, 0.254400)};
{45, H, (3.833600, 13.813299, -0.716900)};
{70, O, (6.453600, 14.051600, 0.000000)};
{70, H, (6.731000, 14.944500, 0.254400)};
{70, H, (7.060400, 13.813299, -0.716900)};
", "{95, O, (9.830400, 14.051600, 0.000000)};
{95, H, (10.107800, 14.944500, 0.254400)};
{95, H, (10.437200, 13.813299, -0.716900)};
", "EMPTY", "{120, O, (12.907200, 14.051600, 0.000000)};
{120, H, (13.184600, 14.944500, 0.254400)};
{120, H, (13.514000, 13.813299, -0.716900)};
", 

"Layer #2"
"{1, O, (0.000000, 0.000000, 3.336900)};
{1, H, (0.277400, 0.892900, 3.591300)};
{1, H, (0.606800, -0.238300, 2.620000)};
", "{1, O, (0.000000, 0.000000, 3.336900)};
{1, H, (0.277400, 0.892900, 3.591300)};
{1, H, (0.606800, -0.238300, 2.620000)};
{26, O, (3.226800, 0.000000, 3.336900)};
{26, H, (3.504200, 0.892900, 3.591300)};
{26, H, (3.833600, -0.238300, 2.620000)};
", "{26, O, (3.226800, 0.000000, 3.336900)};
{26, H, (3.504200, 0.892900, 3.591300)};
{26, H, (3.833600, -0.238300, 2.620000)};
{51, O, (6.453600, 0.000000, 3.486900)};
{51, H, (6.731000, 0.892900, 3.741300)};
{51, H, (7.060400, -0.238300, 2.770000)};
", "{76, O, (9.830400, 0.000000, 3.336900)};
{76, H, (10.107800, 0.892900, 3.591300)};
{76, H, (10.437200, -0.238300, 2.620000)};
", "EMPTY", "{101, O, (12.907200, 0.000000, 3.486900)};
{101, H, (13.184600, 0.892900, 3.741300)};
{101, H, (13.514000, -0.238300, 2.770000)};
", 
"{6, O, (0.101953, 3.539414, 2.892322)};
{6, H, (-0.216120, 4.277454, 3.433678)};
{6, H, (0.998366, 3.376431, 3.222199)};
", "{6, O, (0.000000, 3.512900, 3.336900)};
{6, H, (0.277400, 4.405800, 3.591300)};
{6, H, (0.606800, 3.274600, 2.620000)};
{31, O, (3.598148, 3.812900, 2.936290)};
{31, H, (3.421756, 4.705801, 3.268790)};
{31, H, (4.444695, 3.574600, 3.343120)};
", "{31, O, (3.598148, 3.812900, 2.936290)};
{31, H, (3.421756, 4.705801, 3.268790)};
{31, H, (4.444695, 3.574600, 3.343120)};
{56, O, (7.053600, 3.062900, 2.736900)};
{56, H, (7.331000, 3.955800, 2.991300)};
{56, H, (7.660400, 2.824599, 2.020000)};
", "{81, O, (9.830400, 3.662900, 3.486900)};
{81, H, (10.107800, 4.555800, 3.741300)};
{81, H, (10.437200, 3.424600, 2.770000)};
", "EMPTY", "{106, O, (12.907200, 3.362900, 3.186900)};
{106, H, (13.184600, 4.255800, 3.441300)};
{106, H, (13.514000, 3.124599, 2.470000)};
", 
