"Layer #1"
"{0, O, (0.787894, 0.996985, 0.372737)};
{0, H, (1.148398, 1.690399, -0.200110)};
{0, H, (1.221345, 0.187919, 0.062138)};
", "{25, O, (3.729204, 0.766491, 0.544509)};
{25, H, (3.505341, 1.441888, 1.202282)};
{25, H, (3.939430, 1.276299, -0.252259)};
", "{50, O, (6.477474, 0.491138, 0.666639)};
{50, H, (6.268561, 1.194963, 1.299038)};
{50, H, (6.696230, 0.966546, -0.148880)};
{75, H, (8.976433, 1.058403, 1.613933)};
", "{75, O, (9.287591, 0.612432, 0.811915)};
{75, H, (9.540284, 1.339232, 0.222981)};
{100, O, (11.949196, 0.484798, 1.183550)};
{100, H, (12.325311, 0.922993, 0.405431)};
", "EMPTY", 
"{5, O, (0.563420, 4.589527, 0.050658)};
{5, H, (1.023646, 5.418085, 0.252209)};
{5, H, (1.031509, 4.244281, -0.724350)};
", "{30, O, (3.452349, 3.942913, 0.394349)};
{30, H, (3.508918, 4.793605, 0.854852)};
{30, H, (3.773257, 4.138421, -0.498810)};
", "{55, O, (6.137214, 3.745023, 0.641129)};
{55, H, (6.303407, 4.661726, 0.907546)};
{55, H, (6.679379, 3.630301, -0.153753)};
", "{80, O, (9.206421, 3.889737, 0.729819)};
{80, H, (9.104727, 4.715992, 1.225702)};
{80, H, (9.399410, 4.181321, -0.173880)};
{105, O, (11.878308, 3.892303, 0.975212)};
{105, H, (11.930293, 4.717955, 1.479730)};
", "{105, H, (12.803057, 3.678744, 0.779824)};
", 
"{10, O, (0.492513, 8.023676, 0.333138)};
{10, H, (0.842183, 8.857932, 0.680538)};
{10, H, (0.938177, 7.920703, -0.521097)};
", "{35, O, (3.363607, 7.532894, 0.432970)};
{35, H, (3.428920, 8.314642, 1.001778)};
{35, H, (3.777933, 7.812195, -0.397249)};
", "{60, O, (6.202867, 7.366694, 0.606776)};
{60, H, (6.143672, 8.203149, 1.092348)};
{60, H, (6.603539, 7.615283, -0.239748)};
", "{85, O, (9.042709, 7.449727, 0.826063)};
{85, H, (9.471310, 8.267589, 1.119909)};
{85, H, (9.571536, 7.168980, 0.064184)};
{110, H, (12.209439, 7.902347, 0.582231)};
", "{110, O, (12.480660, 7.615883, 1.467284)};
", 
"{15, O, (0.559413, 11.338062, 0.053828)};
{15, H, (1.036294, 12.163564, 0.227245)};
{15, H, (0.946697, 11.013220, -0.772869)};
", "{40, O, (3.348726, 10.864826, 0.533208)};
{40, H, (3.642850, 11.763614, 0.744435)};
{40, H, (3.625759, 10.737967, -0.386628)};
", "{65, O, (6.166828, 10.850372, 0.546212)};
{65, H, (6.513277, 11.741763, 0.702226)};
{65, H, (6.691850, 10.522316, -0.199220)};
", "{90, O, (9.290369, 10.785560, 0.480419)};
{90, H, (9.190888, 11.595354, 1.003175)};
{90, H, (9.680469, 11.090955, -0.352344)};
{115, O, (12.052463, 10.703129, 0.718270)};
{115, H, (11.931273, 11.531414, 1.206328)};
", "{115, H, (13.014643, 10.604518, 0.659778)};
", 
"{20, O, (0.314936, 14.949885, -0.221530)};
{20, H, (0.861024, 15.720391, -0.004619)};
{20, H, (0.827381, 14.482871, -0.898460)};
", "{45, O, (3.274400, 14.250672, 0.139391)};
{45, H, (3.473069, 15.170835, 0.369114)};
{45, H, (3.559318, 14.173051, -0.783504)};
", "{70, O, (6.052983, 14.269877, 0.338223)};
{70, H, (6.241307, 15.198663, 0.540292)};
{70, H, (6.362820, 14.161172, -0.573437)};
", "{95, O, (8.980492, 14.039226, 0.204398)};
{95, H, (9.035730, 14.955029, 0.516147)};
{95, H, (9.805663, 13.908894, -0.286560)};
{120, O, (12.204075, 14.108325, 0.946230)};
", "{120, H, (12.481475, 14.982529, 1.258893)};
{120, H, (12.810875, 13.917765, 0.215190)};
", 
"EMPTY", "EMPTY", "EMPTY", "EMPTY", "EMPTY", 

"Layer #2"
"{1, O, (1.467930, 0.855779, 3.503880)};
{1, H, (1.842048, 0.361310, 2.759248)};
", "{1, H, (2.179691, 1.458996, 3.765541)};
{26, O, (4.431322, -0.139382, 3.574769)};
{26, H, (4.858983, 0.729621, 3.545058)};
{26, H, (4.678591, -0.550873, 2.733060)};
", "{51, O, (7.302565, -0.374346, 3.828156)};
{51, H, (7.563754, 0.557323, 3.776062)};
{51, H, (7.482198, -0.717830, 2.940074)};
", "{76, O, (10.175529, -0.491448, 3.974990)};
{76, H, (10.191777, 0.477033, 3.948139)};
{76, H, (10.431143, -0.754813, 3.078196)};
{100, H, (11.909422, 1.186262, 1.850863)};
", "{101, O, (13.009495, -0.369090, 4.152001)};
{101, H, (12.822941, 0.541390, 4.426162)};
{101, H, (13.591720, -0.267699, 3.384099)};
", 
"{6, O, (1.074666, 3.595437, 2.636200)};
{6, H, (1.554879, 4.428322, 2.757187)};
{6, H, (1.606217, 3.110946, 1.986846)};
{7, H, (1.856547, 3.451511, 5.182816)};
", "{31, O, (3.903237, 3.223770, 3.370304)};
{31, H, (4.070453, 4.120233, 3.697926)};
{31, H, (4.559660, 3.105157, 2.667470)};
", "{56, O, (7.095706, 3.019677, 3.335398)};
{56, H, (6.989771, 3.972786, 3.474327)};
{56, H, (7.636084, 2.958649, 2.533397)};
", "{81, O, (9.933361, 3.068470, 3.759892)};
{81, H, (9.823613, 4.030718, 3.791162)};
{81, H, (10.373506, 2.910520, 2.911209)};
", "{106, O, (12.678799, 3.175801, 4.287281)};
{106, H, (12.557233, 4.133766, 4.367690)};
{106, H, (13.080702, 3.063421, 3.412760)};
", 
