"Layer #1"
"EMPTY", "EMPTY", "EMPTY", "{75, H, (9.914659, 0.684957, 0.350779)};
", "EMPTY", "EMPTY", 
"EMPTY", "{0, H, (1.482407, 1.856126, 1.072096)};
{5, O, (2.516813, 3.854331, 0.707407)};
{5, H, (2.673218, 3.415459, -0.142218)};
{25, H, (3.693689, 1.572220, 0.508340)};
", "{30, H, (4.818030, 3.946935, 0.806518)};
{55, O, (6.854902, 3.090647, 0.478348)};
{55, H, (6.383065, 2.307024, 0.798100)};
", "{75, O, (9.592147, 1.586160, 0.199892)};
{75, H, (9.555319, 1.973282, 1.087429)};
{80, O, (10.225476, 3.889056, 0.539168)};
{55, H, (7.731815, 2.754632, 0.239491)};
", "{80, H, (10.620902, 3.575270, -0.287952)};
{100, H, (11.780030, 1.859441, 0.318690)};
{105, O, (12.436731, 3.885899, 0.833821)};
", "EMPTY", 
"{10, H, (1.477067, 6.420424, 0.404818)};
", "{5, H, (2.881920, 4.743161, 0.582466)};
", "EMPTY", "{80, H, (10.309681, 4.853024, 0.487966)};
{85, H, (9.296541, 6.815950, 0.903184)};
", "{110, H, (11.777346, 6.476702, 0.309956)};
", "EMPTY", 
"EMPTY", "{10, H, (1.498965, 7.752409, 1.151060)};
", "EMPTY", "{85, H, (9.194409, 8.338825, 0.947025)};
", "{115, O, (11.579165, 10.267960, 0.676481)};
{115, H, (10.952709, 9.544851, 0.830070)};
", "EMPTY", 
"{15, O, (1.067547, 10.825563, 0.922995)};
{20, O, (0.972902, 13.459388, 0.536786)};
", "{20, H, (1.499504, 13.017633, -0.146208)};
{40, O, (3.194306, 11.491910, 0.180904)};
{40, H, (3.406947, 10.670243, 0.648440)};
{40, H, (2.635152, 11.203854, -0.556190)};
", "{65, H, (5.368728, 11.785860, 0.597753)};
", "{95, O, (8.833048, 13.126079, 0.477687)};
{95, H, (9.660540, 13.137988, -0.026329)};
{95, H, (8.225038, 12.620534, -0.082408)};
{90, O, (9.302577, 10.709774, 0.368265)};
{90, H, (9.689132, 11.264032, 1.062738)};
{90, H, (8.366875, 10.647401, 0.612248)};
", "{120, H, (12.047992, 12.392238, 0.655028)};
{115, H, (11.390884, 10.552103, -0.230576)};
", "EMPTY", 
"EMPTY", "{20, H, (1.494789, 14.243546, 0.764113)};
{45, O, (3.826888, 13.557914, 0.613963)};
{45, H, (3.475705, 13.898840, -0.222325)};
", "EMPTY", "EMPTY", "EMPTY", "EMPTY", 

"Layer #2"
"EMPTY", "{1, H, (1.723793, 1.261094, 3.967871)};
{26, O, (3.548203, 0.168842, 3.353068)};
{26, H, (3.234061, 0.512777, 2.503383)};
{26, H, (4.351841, 0.680499, 3.530019)};
", "{51, H, (6.480790, 1.133921, 3.389778)};
{50, H, (6.977607, 0.376294, 1.421263)};
", "{76, O, (10.469104, 1.148927, 2.695974)};
{76, H, (9.899614, 1.024345, 3.469990)};
{50, O, (7.835257, 0.827243, 1.416912)};
{50, H, (8.311326, 0.432018, 2.162631)};
", "{76, H, (10.572154, 0.255629, 2.334947)};
{101, O, (12.548254, 1.081008, 3.872571)};
{101, H, (12.393922, 0.190919, 3.522066)};
", "EMPTY", 
"EMPTY", "{0, O, (1.768447, 1.959293, 1.992138)};
{0, H, (1.549003, 2.879068, 2.203765)};
{6, O, (2.022155, 4.356568, 4.151273)};
{6, H, (1.558053, 3.506548, 4.183094)};
{25, O, (3.741385, 2.229400, 1.218823)};
{31, O, (3.906070, 3.374331, 3.317812)};
{31, H, (3.447408, 3.837833, 2.601058)};
{31, H, (3.392127, 2.561654, 3.437635)};
", "{30, H, (5.643312, 3.859258, 2.088223)};
{51, O, (6.123679, 1.960108, 3.030843)};
{51, H, (5.742400, 2.405129, 3.802550)};
{25, H, (4.521715, 1.965986, 1.729353)};
", "{56, O, (8.019045, 2.700692, 2.342186)};
{56, H, (8.235936, 2.382517, 3.231389)};
{56, H, (7.878171, 3.651902, 2.461795)};
{81, O, (9.966876, 3.723526, 3.421816)};
{81, H, (10.221634, 3.014694, 4.031402)};
{81, H, (10.158265, 3.358239, 2.544959)};
", "{100, O, (11.668325, 1.962610, 1.275676)};
{100, H, (12.425354, 1.489146, 1.652106)};
{105, H, (13.247496, 3.530388, 1.227738)};
{106, O, (12.175706, 3.928080, 3.321413)};
{106, H, (13.116081, 4.152253, 3.387557)};
{106, H, (12.174404, 2.978156, 3.130158)};
", "EMPTY", 
"{10, O, (1.397586, 6.799271, 1.293131)};
{11, H, (1.444112, 7.122874, 3.401360)};
", "{35, O, (3.888621, 6.182671, 2.026834)};
{35, H, (3.038990, 5.945705, 2.427989)};
{35, H, (3.641795, 6.648764, 1.213956)};
", "{30, O, (5.165547, 4.490526, 1.529492)};
", "{86, H, (10.053599, 6.957273, 2.912985)};
{62, H, (8.350576, 6.411967, 4.111952)};
", "{110, O, (11.409891, 6.680337, 1.183148)};
{105, H, (12.240852, 4.669837, 1.368619)};
{111, O, (12.082376, 6.703341, 3.432146)};
{111, H, (12.663210, 6.241117, 2.809318)};
", "EMPTY", 
"{11, O, (1.302791, 8.080805, 3.364801)};
{15, H, (1.451142, 10.022570, 1.306391)};
{16, O, (0.553798, 10.259119, 3.255563)};
{16, H, (0.291041, 9.952808, 4.136519)};
", "{36, O, (3.472133, 8.081120, 3.190294)};
{36, H, (4.433558, 8.154148, 3.093979)};
{36, H, (3.133057, 8.267437, 2.301892)};
{41, O, (2.853329, 10.318549, 2.846457)};
{41, H, (2.702703, 10.076032, 3.772434)};
{41, H, (3.814170, 10.251813, 2.740307)};
", "{60, O, (6.662939, 8.483515, 1.723085)};
{60, H, (7.378058, 9.137100, 1.702421)};
{60, H, (5.859271, 9.018411, 1.806382)};
{61, H, (7.040778, 8.170882, 3.796474)};
{66, H, (6.666825, 10.261849, 3.451263)};
", "{61, O, (7.955800, 8.431944, 3.613328)};
{86, O, (10.098965, 7.922781, 2.844514)};
{86, H, (10.181821, 8.218987, 3.763393)};
{85, O, (8.748210, 7.534628, 1.252139)};
{91, H, (9.260250, 9.832549, 2.544781)};
", "{110, H, (11.539192, 7.636322, 1.274378)};
{116, O, (11.270515, 10.217505, 3.361797)};
{116, H, (11.650738, 9.559100, 2.761084)};
{111, H, (12.310916, 7.637794, 3.315967)};
", "EMPTY", 
"{15, H, (1.469863, 11.544079, 1.433716)};
{16, H, (0.794327, 11.187705, 3.392688)};
{21, H, (0.877017, 13.250716, 4.129937)};
{21, H, (1.452815, 13.287106, 2.716185)};
", "{46, O, (4.234633, 12.330272, 2.336113)};
{46, H, (3.297311, 12.297975, 2.092577)};
{46, H, (4.286933, 13.062024, 2.969135)};
{47, H, (2.666946, 12.121744, 4.087557)};
", "{65, O, (5.481397, 11.066818, 1.237461)};
{65, H, (6.441863, 10.998329, 1.345897)};
{70, O, (7.192151, 12.931716, 1.827545)};
{70, H, (6.262037, 13.117976, 2.025398)};
{66, O, (5.756430, 10.584434, 3.373467)};
{66, H, (5.837080, 11.543106, 3.488967)};
", "{70, H, (7.498630, 12.427752, 2.596320)};
{91, O, (8.575431, 10.505660, 2.674602)};
{91, H, (8.889236, 11.014843, 3.436970)};
{96, O, (10.138824, 12.837517, 3.212924)};
{96, H, (9.544044, 12.858080, 2.448236)};
", "{116, H, (11.013569, 10.946643, 2.777598)};
{120, O, (11.332838, 12.554125, 1.288502)};
{121, O, (12.307253, 12.667535, 3.109791)};
{121, H, (13.004361, 12.104153, 3.477986)};
", "EMPTY", 
"{21, O, (1.418656, 13.796167, 3.539979)};
", "{45, H, (3.619872, 14.253719, 1.255786)};
", "EMPTY", "{96, H, (10.397242, 13.763600, 3.333466)};
", "{120, H, (11.293810, 13.519983, 1.355701)};
{121, H, (12.609164, 13.568327, 3.300452)};
", "EMPTY", 

"Layer #3"
