"Layer #1"
"{0, O, (0.864868, 0.679339, 0.822389)};
{0, H, (0.841496, 0.855763, -0.130116)};
", "{25, O, (2.999976, 1.184896, 0.460457)};
{25, H, (2.926749, 0.260085, 0.180634)};
{25, H, (3.927746, 1.276806, 0.724531)};
", "{50, O, (6.842819, 1.027848, 0.059233)};
{50, H, (6.069830, 0.536441, 0.375385)};
{50, H, (7.444847, 1.030934, 0.818504)};
", "{75, O, (10.114128, 1.118981, 0.194130)};
{75, H, (10.023674, 0.162051, 0.316784)};
", "{100, O, (12.216643, 0.974800, 0.923852)};
{100, H, (13.124594, 1.217931, 1.159349)};
{100, H, (12.267356, 0.768124, -0.021481)};
", "EMPTY", 
"EMPTY", "{5, O, (1.675543, 4.279228, 0.487493)};
{5, H, (1.781248, 3.434754, 0.024214)};
{30, O, (4.255807, 4.225780, 0.252040)};
{30, H, (3.886644, 3.331480, 0.305780)};
", "{55, O, (6.617795, 3.586789, 0.649446)};
{55, H, (7.457843, 3.142319, 0.460491)};
{55, H, (6.011275, 2.861130, 0.860374)};
", "{75, H, (9.499266, 1.497010, 0.840647)};
{80, O, (10.285276, 4.392133, 0.544994)};
{80, H, (9.929654, 3.542914, 0.242845)};
", "{105, O, (12.428090, 3.806268, 0.302537)};
{105, H, (13.208471, 3.238369, 0.388656)};
", "EMPTY", 
"{10, O, (1.160443, 6.700287, 0.920600)};
{10, H, (0.811564, 6.653083, 0.017829)};
", "{5, H, (2.208666, 4.899571, -0.032020)};
{30, H, (4.039269, 4.620372, 1.110148)};
{35, O, (3.724247, 6.799835, 0.687682)};
{35, H, (3.106700, 6.905835, -0.051467)};
", "{60, O, (7.235045, 7.361421, 0.704090)};
{60, H, (6.279679, 7.296010, 0.556001)};
", "{80, H, (10.357444, 4.917555, -0.265971)};
{85, O, (9.495498, 7.057552, 0.523464)};
{85, H, (10.444053, 6.954188, 0.354670)};
", "{105, H, (12.619021, 4.556460, 0.885370)};
{110, O, (12.597076, 6.843203, 0.770167)};
{110, H, (12.502850, 6.447619, -0.109365)};
", "EMPTY", 
"{10, H, (1.359077, 7.640375, 1.045945)};
", "EMPTY", "{60, H, (7.391186, 8.312028, 0.808654)};
{65, H, (6.654915, 10.468789, 0.810303)};
", "{90, O, (10.214027, 9.985817, 0.671409)};
{90, H, (9.245851, 9.988422, 0.711103)};
", "{110, H, (12.438347, 7.787302, 0.620445)};
{115, H, (12.520329, 10.057480, 0.930513)};
", "EMPTY", 
"{15, O, (0.440882, 11.026424, 0.678927)};
{15, H, (0.468163, 10.815125, -0.266349)};
{15, H, (1.184523, 10.529279, 1.051480)};
{20, O, (0.682290, 13.465816, 0.912322)};
{20, H, (1.398936, 12.901417, 0.585508)};
", "{40, O, (3.015970, 11.432242, 0.161764)};
{40, H, (3.323001, 10.513556, 0.188167)};
{40, H, (2.594427, 11.513297, -0.706955)};
", "{65, O, (6.216043, 11.269581, 1.134434)};
{65, H, (5.299902, 11.172278, 0.834171)};
{70, O, (6.586004, 13.393229, 0.342496)};
{70, H, (5.631695, 13.370692, 0.509018)};
", "{90, H, (10.451453, 10.925148, 0.686237)};
{95, H, (9.038204, 12.923502, 0.722036)};
", "{115, O, (12.685643, 10.980275, 0.685466)};
{115, H, (12.437796, 11.021975, -0.250359)};
{120, O, (12.352250, 13.165373, 0.656279)};
{120, H, (13.064068, 13.033966, 0.012087)};
", "EMPTY", 
"{20, H, (0.870164, 14.332457, 0.521708)};
", "{45, O, (3.333762, 13.589609, 0.253390)};
{45, H, (3.228535, 14.299093, 0.904928)};
{45, H, (2.933596, 13.950228, -0.552067)};
", "EMPTY", "{95, O, (9.352322, 13.748170, 0.321798)};
{95, H, (10.304204, 13.606064, 0.209289)};
", "{120, H, (12.445442, 14.092471, 0.922261)};
", "EMPTY", 

"Layer #2"
"{1, H, (0.619479, 1.170818, 3.843337)};
", "{26, O, (3.073362, 0.399909, 3.232682)};
{26, H, (2.457514, 0.180180, 2.517563)};
{26, H, (3.887674, 0.651071, 2.771431)};
", "{51, O, (6.458650, 0.931556, 2.898087)};
{51, H, (5.848584, 1.428905, 2.332922)};
{51, H, (5.955035, 0.783205, 3.712522)};
", "{76, H, (10.106336, 1.306648, 3.140243)};
", "{76, O, (10.804713, 1.166157, 2.483389)};
{76, H, (10.772449, 0.213821, 2.307444)};
{101, O, (12.878792, 1.135359, 3.240757)};
{101, H, (12.757668, 0.176535, 3.170575)};
{101, H, (12.351890, 1.381768, 4.015738)};
", "EMPTY", 
"{0, H, (0.935649, 1.559345, 1.221789)};
{6, O, (0.788230, 3.687882, 3.762038)};
{6, H, (0.289831, 3.163712, 3.117227)};
", "{31, O, (2.641731, 2.785098, 2.023685)};
{31, H, (2.477430, 3.709244, 2.264302)};
{31, H, (2.246233, 2.280210, 2.750051)};
", "{56, H, (6.867813, 3.160070, 2.954816)};
", "{56, O, (7.744086, 3.234846, 2.548008)};
{56, H, (8.072852, 2.323484, 2.531066)};
{81, O, (10.036629, 3.838314, 3.197787)};
{81, H, (10.103030, 3.300707, 2.394353)};
", "{81, H, (10.488983, 3.308995, 3.871688)};
{106, O, (12.432537, 3.837309, 2.978371)};
{106, H, (13.326487, 4.207290, 2.924447)};
{106, H, (12.482499, 3.026513, 2.450119)};
", "EMPTY", 
