"Layer #1"
"EMPTY", "EMPTY", "EMPTY", "{75, H, (9.895042, 0.680284, 0.402473)};
", "EMPTY", "EMPTY", 
"EMPTY", "{0, H, (1.480102, 1.792118, 1.013251)};
{5, O, (2.398723, 3.893569, 0.701978)};
{5, H, (2.526516, 3.376318, -0.107376)};
{25, H, (3.641237, 1.531262, 0.487838)};
", "{30, H, (4.772064, 3.946187, 0.791728)};
{55, O, (6.825285, 3.089509, 0.490359)};
{55, H, (6.353448, 2.305886, 0.810111)};
", "{55, H, (7.702199, 2.753494, 0.251502)};
{75, O, (9.572531, 1.578189, 0.233055)};
{75, H, (9.535703, 1.983510, 1.112429)};
{80, O, (10.207550, 3.908169, 0.545788)};
", "{80, H, (10.573818, 3.534322, -0.269708)};
{100, H, (11.798941, 1.845807, 0.289444)};
{105, O, (12.435678, 3.876373, 0.829437)};
", "EMPTY", 
"{10, H, (1.381544, 6.420424, 0.404818)};
", "{5, H, (2.816189, 4.745268, 0.503834)};
{35, H, (3.528332, 6.655661, 1.132131)};
", "EMPTY", "{80, H, (10.374693, 4.859048, 0.463101)};
{85, H, (9.318440, 6.773186, 0.914606)};
", "{110, H, (11.864394, 6.463885, 0.359106)};
", "EMPTY", 
"{10, H, (1.403442, 7.752409, 1.151060)};
", "EMPTY", "EMPTY", "{85, H, (9.216356, 8.296627, 0.930564)};
", "{115, O, (11.557567, 10.327406, 0.696340)};
{115, H, (10.975537, 9.566365, 0.841195)};
", "EMPTY", 
"{15, O, (1.046864, 10.825563, 0.886138)};
{20, O, (0.975249, 13.448586, 0.540288)};
", "{20, H, (1.523761, 13.008277, -0.126205)};
{40, O, (3.202405, 11.476399, 0.187936)};
{40, H, (3.396942, 10.650261, 0.655472)};
{40, H, (2.637058, 11.200699, -0.549159)};
", "{65, H, (5.382693, 11.734233, 0.590052)};
", "{90, O, (9.291224, 10.706657, 0.318454)};
{90, H, (9.707451, 11.260916, 0.995564)};
{90, H, (8.366941, 10.644284, 0.602674)};
{95, O, (8.878556, 13.168334, 0.492082)};
{95, H, (9.704661, 13.178869, -0.014236)};
{95, H, (8.269023, 12.661243, -0.064951)};
", "{115, H, (11.425706, 10.548499, -0.237826)};
{120, H, (12.118111, 12.419244, 0.633958)};
", "EMPTY", 
"{20, H, (1.459401, 14.263703, 0.740607)};
", "{45, O, (3.761220, 13.529425, 0.609378)};
{45, H, (3.463198, 13.909674, -0.230581)};
", "EMPTY", "EMPTY", "EMPTY", "EMPTY", 

"Layer #2"
"EMPTY", "{1, H, (1.728126, 1.216301, 3.961744)};
{26, O, (3.546566, 0.093899, 3.369841)};
{26, H, (3.238587, 0.424364, 2.512587)};
{26, H, (4.348953, 0.608310, 3.544478)};
", "{50, H, (6.970386, 0.355689, 1.421263)};
{51, H, (6.472807, 1.134459, 3.385512)};
", "{50, O, (7.814186, 0.832051, 1.416912)};
{50, H, (8.301847, 0.451219, 2.162631)};
{76, H, (9.894827, 1.040781, 3.443690)};
", "{76, O, (10.514794, 1.142610, 2.705989)};
{76, H, (10.605900, 0.245509, 2.351233)};
{100, H, (12.411170, 1.469600, 1.636741)};
{101, O, (12.553603, 1.128448, 3.931611)};
{101, H, (12.416291, 0.238602, 3.573490)};
", "EMPTY", 
"EMPTY", "{0, O, (1.766142, 1.852548, 1.937083)};
{0, H, (1.546697, 2.761530, 2.191100)};
{6, O, (2.043331, 4.335923, 4.123839)};
{6, H, (1.606422, 3.472840, 4.179831)};
{25, O, (3.723148, 2.185059, 1.198321)};
{31, O, (3.876903, 3.338834, 3.289105)};
{31, H, (3.396504, 3.781935, 2.573687)};
{31, H, (3.399202, 2.504521, 3.410203)};
", "{25, H, (4.488670, 1.881300, 1.708851)};
{30, H, (5.598044, 3.862449, 2.073247)};
{51, O, (6.096744, 1.938094, 2.996033)};
{51, H, (5.749121, 2.426607, 3.757256)};
", "{56, O, (8.008801, 2.732513, 2.332432)};
{56, H, (8.237628, 2.379137, 3.205199)};
{56, H, (7.837500, 3.671810, 2.497740)};
{81, O, (9.954829, 3.721472, 3.424150)};
{81, H, (10.209587, 3.008679, 4.029099)};
{81, H, (10.146218, 3.361913, 2.544928)};
", "{100, O, (11.663599, 1.944697, 1.243830)};
{105, H, (13.242224, 3.500790, 1.213289)};
{106, O, (12.157427, 3.924452, 3.332912)};
{106, H, (13.099025, 4.144325, 3.396050)};
{106, H, (12.151927, 2.989708, 3.077642)};
", "EMPTY", 
"{10, O, (1.302063, 6.799271, 1.293131)};
{11, H, (1.437958, 7.082178, 3.393245)};
", "{35, O, (3.825647, 6.202646, 1.935449)};
{35, H, (3.003246, 5.918834, 2.362135)};
", "{30, O, (5.102099, 4.488084, 1.524102)};
", "{62, H, (8.358011, 6.378479, 4.166845)};
{86, H, (10.053599, 6.957089, 2.955472)};
", "{105, H, (12.247156, 4.645796, 1.387453)};
{110, O, (11.411797, 6.665708, 1.191801)};
{111, O, (12.106265, 6.738484, 3.473614)};
{111, H, (12.633794, 6.195415, 2.868856)};
", "EMPTY", 
